Oord,Sord,AxLab,FarSource,SID,ExperimentName,Phase,Subject,Pic,Trial,Question,Rating,FaceDist
8066,H,SP-C,L,SP-C_L3,SP-C_LB_Final1,Rating,3,Mark.bmp,1,Know,78,Far
8085,H,SP-C,L,SP-C_L3,SP-C_LB_Final1,Rating,3,Adam.bmp,2,Acc,59,Close
8086,H,SP-C,L,SP-C_L3,SP-C_LB_Final1,Rating,3,Mark.bmp,1,Acc,81,Far
8105,H,SP-C,L,SP-C_L3,SP-C_LB_Final1,Rating,3,Adam.bmp,2,Trust,76,Close
8106,H,SP-C,L,SP-C_L3,SP-C_LB_Final1,Rating,3,Mark.bmp,1,Trust,75,Far
8125,H,SP-C,L,SP-C_L3,SP-C_LB_Final1,Rating,3,Adam.bmp,2,Attract,64,Close
8126,H,SP-C,L,SP-C_L3,SP-C_LB_Final1,Rating,3,Mark.bmp,1,Attract,56,Far
8067,H,SP-C,L,SP-C_L4,SP-C_LB_Final1,Rating,4,Adam.bmp,1,Know,24,Far
8068,H,SP-C,L,SP-C_L4,SP-C_LB_Final1,Rating,4,Mark.bmp,2,Know,67,Close
8087,H,SP-C,L,SP-C_L4,SP-C_LB_Final1,Rating,4,Adam.bmp,1,Acc,50,Far
8088,H,SP-C,L,SP-C_L4,SP-C_LB_Final1,Rating,4,Mark.bmp,2,Acc,68,Close
8107,H,SP-C,L,SP-C_L4,SP-C_LB_Final1,Rating,4,Adam.bmp,2,Trust,50,Far
8108,H,SP-C,L,SP-C_L4,SP-C_LB_Final1,Rating,4,Mark.bmp,1,Trust,52,Close
8127,H,SP-C,L,SP-C_L4,SP-C_LB_Final1,Rating,4,Adam.bmp,1,Attract,65,Far
8128,H,SP-C,L,SP-C_L4,SP-C_LB_Final1,Rating,4,Mark.bmp,2,Attract,38,Close
8069,H,SP-C,L,SP-C_L5,SP-C_LB_Final1,Rating,5,Adam.bmp,2,Know,24,Close
8070,H,SP-C,L,SP-C_L5,SP-C_LB_Final1,Rating,5,Mark.bmp,1,Know,75,Far
8089,H,SP-C,L,SP-C_L5,SP-C_LB_Final1,Rating,5,Adam.bmp,2,Acc,33,Close
8090,H,SP-C,L,SP-C_L5,SP-C_LB_Final1,Rating,5,Mark.bmp,1,Acc,61,Far
8109,H,SP-C,L,SP-C_L5,SP-C_LB_Final1,Rating,5,Adam.bmp,2,Trust,41,Close
8110,H,SP-C,L,SP-C_L5,SP-C_LB_Final1,Rating,5,Mark.bmp,1,Trust,56,Far
8129,H,SP-C,L,SP-C_L5,SP-C_LB_Final1,Rating,5,Adam.bmp,1,Attract,72,Close
8130,H,SP-C,L,SP-C_L5,SP-C_LB_Final1,Rating,5,Mark.bmp,2,Attract,21,Far
8071,H,SP-C,L,SP-C_L6,SP-C_LB_Final1,Rating,6,Adam.bmp,1,Know,36,Far
8072,H,SP-C,L,SP-C_L6,SP-C_LB_Final1,Rating,6,Mark.bmp,2,Know,56,Close
8091,H,SP-C,L,SP-C_L6,SP-C_LB_Final1,Rating,6,Adam.bmp,1,Acc,73,Far
8092,H,SP-C,L,SP-C_L6,SP-C_LB_Final1,Rating,6,Mark.bmp,2,Acc,85,Close
8111,H,SP-C,L,SP-C_L6,SP-C_LB_Final1,Rating,6,Adam.bmp,2,Trust,61,Far
8112,H,SP-C,L,SP-C_L6,SP-C_LB_Final1,Rating,6,Mark.bmp,1,Trust,75,Close
8131,H,SP-C,L,SP-C_L6,SP-C_LB_Final1,Rating,6,Adam.bmp,2,Attract,67,Far
8132,H,SP-C,L,SP-C_L6,SP-C_LB_Final1,Rating,6,Mark.bmp,1,Attract,62,Close
8073,H,SP-C,L,SP-C_L7,SP-C_LB_Final1,Rating,7,Adam.bmp,1,Know,73,Close
8074,H,SP-C,L,SP-C_L7,SP-C_LB_Final1,Rating,7,Mark.bmp,2,Know,58,Far
8093,H,SP-C,L,SP-C_L7,SP-C_LB_Final1,Rating,7,Adam.bmp,1,Acc,58,Close
8094,H,SP-C,L,SP-C_L7,SP-C_LB_Final1,Rating,7,Mark.bmp,2,Acc,50,Far
8113,H,SP-C,L,SP-C_L7,SP-C_LB_Final1,Rating,7,Adam.bmp,2,Trust,65,Close
8114,H,SP-C,L,SP-C_L7,SP-C_LB_Final1,Rating,7,Mark.bmp,1,Trust,27,Far
